year,time,toptenpercent,topfivepercent,toponepercent,toppointonepercent,gdppc,labinag,secedu,Manufacturing,femalelabor,importsbygdp,housepolar,senatepolar
1948,36,33.72,23.7,11.27,3.44,9064.56,13.4,72.33,40.8,28.36,2.75,0.421,0.316
1949,37,33.76,23.46,10.95,3.34,8943.74,13.7,74.45,41,28.68,2.57,0.459,0.362
1950,38,33.87,23.87,11.36,3.53,9561.35,12.5,76.61,41.1,29,3.11,0.459,0.362
1951,39,32.82,22.67,10.52,3.12,10116.25,11.6,88.46,40.8,29.55,3.32,0.445,0.343
1952,40,32.07,21.85,9.76,2.76,10315.54,11.1,75.48,40.4,30.1,3.08,0.445,0.343
1953,41,31.38,21.01,9.08,2.51,10612.61,10.5,79.39,40.1,30.65,2.96,0.442,0.362
1954,42,32.12,21.56,9.39,2.57,10359.11,10.6,81.83,39.7,31.2,2.78,0.442,0.362
1955,43,31.77,21.38,9.18,2.49,10896.85,10.6,83.45,39.4,31.75,2.85,0.47,0.436
1956,44,31.81,21.35,9.09,2.38,10914.28,10.1,86.04,39.1,32.3,3.01,0.47,0.436
1957,45,31.69,21.17,8.98,2.36,10919.99,9.6,86.62,38.7,32.85,2.98,0.464,0.461
1958,46,32.11,21.26,8.83,2.29,10630.53,9.1,87.21,38.4,33.4,2.92,0.464,0.461
1959,47,32.03,21.02,8.75,2.19,11230.17,8.9,86.93,38,33.95,3.16,0.488,0.493
1960,48,31.66,20.51,8.36,2.1,11328.48,8.3,88.12,37.7,34.5,2.93,0.488,0.493
1961,49,31.9,20.91,8.34,2.05,11401.73,8.2,88.78,37.5,35.04,2.77,0.474,0.532
1962,50,32.04,20.94,8.27,1.98,11904.98,7.3,90.77,37.3,35.58,2.86,0.474,0.532
1963,51,32.01,20.9,8.16,1.96,12242.34,6.9,91.71,37.2,36.12,2.84,0.49,0.557
1964,52,31.64,20.62,8.02,1.97,12772.57,6.6,90.63,37,36.66,2.89,0.49,0.557
1965,53,31.52,20.7,8.07,2.04,13418.7,6.2,91.92,36.8,37.2,4.44,0.493,0.572
1966,54,31.98,20.99,8.37,2.15,14133.53,5.5,92.24,36.6,37.74,4.79,0.493,0.572
1967,55,32.05,21.07,8.43,2.16,14330.03,5.2,92.65,36.4,38.28,4.87,0.48,0.533
1968,56,31.98,20.98,8.35,2.15,14862.94,5,93.09,36.3,38.82,5.21,0.48,0.533
1969,57,31.82,20.68,8.02,2,15179.41,4.6,92.2,36.1,39.36,5.26,0.506,0.521
1970,58,31.51,20.39,7.8,1.94,15029.85,4.4,92,35.9,39.9,5.53,0.506,0.521
1971,59,31.75,20.5,7.79,1.91,15304.3,4.3,92.2,35.5,41.02,5.74,0.51,0.502
1972,60,31.62,20.37,7.75,1.92,15943.87,4.11,91.04,35.1,42.14,6.21,0.51,0.502
1973,61,31.85,20.57,7.74,1.89,16689.34,4.02,90.99,34.6,43.26,6.85,0.529,0.566
1974,62,32.36,21.04,8.12,2.11,16491.27,3.94,90.42,34.2,44.38,8.88,0.529,0.566
1975,63,32.62,21.03,8.01,2.04,16283.63,3.85,91.12,33.8,45.5,7.85,0.515,0.558
1976,64,32.42,20.85,7.89,2.02,16975.09,3.77,91.46,33.4,46.62,8.75,0.515,0.558
1977,65,32.43,20.83,7.9,2.04,17566.5,3.69,91.22,33,47.74,9.51,0.504,0.537
1978,66,32.44,20.86,7.95,2.08,18372.97,3.61,91.14,32.5,48.86,9.52,0.504,0.537
1979,67,32.35,20.83,8.03,2.16,18789.39,3.53,89.81,32.1,49.98,10.17,0.528,0.542
1980,68,32.87,21.17,8.18,2.23,18577.37,3.46,90.27,31.7,51.1,10.85,0.528,0.542
1981,69,32.72,20.97,8.03,2.23,18855.55,3.4,90.81,31.1,51.7,10.46,0.553,0.562
1982,70,33.22,21.4,8.39,2.45,18325.12,3.34,91.78,30.6,52.2,9.62,0.553,0.562
1983,71,33.69,21.79,8.59,2.61,18920.16,3.28,92.87,30,52.5,9.67,0.587,0.569
1984,72,33.95,22.1,8.89,2.83,20122.67,3.22,93.19,29.4,53.2,10.76,0.587,0.569
1985,73,34.25,22.38,9.09,2.91,20717.32,3.16,92.5,28.9,54.1,10.4,0.619,0.595
1986,74,34.57,22.59,9.13,2.87,21236.09,3.1,92.38,28.3,54.9,10.68,0.619,0.595
1987,75,36.48,24.49,10.75,3.73,21787.69,3.04,92.1,27.7,55.6,11.28,0.631,0.606
1988,76,38.63,26.95,13.17,5.21,22499.44,2.98,92.23,27.1,56.2,11.38,0.631,0.606
1989,77,38.47,26.66,12.61,4.74,23059.28,2.93,93.24,26.6,57,11.29,0.645,0.622
1990,78,38.84,27.05,12.98,4.9,23200.56,2.87,93.69,26,56.9,11.45,0.645,0.622
1991,79,38.38,26.43,12.17,4.36,22848.53,2.9,91.65,26,56.7,10.98,0.673,0.641
1992,80,39.82,27.88,13.48,5.21,23298.12,2.9,93.7,26,57.2,11.26,0.673,0.641
1993,81,39.48,27.41,12.82,4.72,23616.07,2.7,95.76,26,57.3,11.57,0.736,0.673
1994,82,39.6,27.5,12.85,4.7,24278.63,2.9,97,26,58.2,12.28,0.736,0.673
1995,83,40.54,28.46,13.53,4.98,24603.17,2.9,95.82,26.1,58.4,12.3,0.821,0.706
1996,84,41.16,29.16,14.11,5.33,25230.22,2.8,95.72,26.1,58.7,12.44,0.821,0.706
1997,85,41.73,29.85,14.77,5.81,26051.55,2.7,95.48,26.1,59.2,12.79,0.857,0.755
1998,86,42.12,30.36,15.29,6.2,26848.77,2.7,95.24,26.1,59.3,12.76,0.857,0.755
1999,87,42.67,30.97,15.87,6.64,27734.75,2.6,93.96,26.1,59.4,13.45,0.878,0.734
2000,88,43.11,31.51,16.49,7.13,28467.06,2.6,93.03,23,59.5,14.9,0.878,0.734
2001,89,42.23,30.4,15.37,6.26,28405.46,2.4,93.74,22.6,59.3,13.67,0.91,0.745
2002,90,41.67,29.66,14.64,5.78,28603.92,2.5,93.29,21.8,59,13.5,0.91,0.745
2003,91,42.04,29.95,14.87,6,29074.23,1.7,95.35,20.9,58.9,13.93,0.938,0.731
2004,92,43.11,31.2,16.08,6.81,29845.24,1.6,96.27,20.8,58.5,15.23,0.938,0.731
2005,93,44.36,32.59,17.42,7.7,30481.35,1.6,96.88,20.6,58.6,16.12,0.972,0.776
2006,94,45.26,33.32,17.98,7.97,31004.46,1.5,97.01,20.8,58.7,16.8,0.972,0.776
2007,95,45.51,33.64,18.29,8.23,31357.37,1.4,97.21,20.6,58.6,16.97,0.982,0.787
2008,96,45.6,33.36,17.67,7.77,31177.72,1.5,96.86,19.9,58.9,17.88,0.982,0.787
